"id","Product Title","Product Price","Product Original Price","Product Discount","Product URL","Product Image","Product Rating","Store Name","Store URL","Store ID","Total Sales","Ship From","Store Member ID","Trade Info","Sold Count","Shipping","Launch Time","Company Name"
"3256812032008617","Cute Weird Foot Squishy Stress Relief Toy, Soft Stretch High Elastic Squeeze Fidget Toy, Funny Tongue Foot Shaped Decompression Toy, Prank Party Novelty Gift, Desktop Decor for Adults Teens, Halloween Christmas Holiday Present","US $5.31","US $12.06","55%","https://aliexpress.com/item/3256812032008617.html","https://ae-pic-a1.aliexpress-media.com/kf/Sca3b77f6722f42a8b7ddfa8874700692N.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","368 sold","368","Free","2026-05-03 0:00:00","Not Available"
"3256812125698266","Pink Maltose Squishy Toys Mochi Anti Stress Sensory Fidget Toy Soft Simulated Transparent Maltose Slow-rebound Decompression Toy","US $5.64","US $19.03","70%","https://aliexpress.com/item/3256812125698266.html","https://ae-pic-a1.aliexpress-media.com/kf/S9b024af7f0ea439d8a38c00ae20d8f82U.jpg","4.4","Not Available","Not Available","Not Available","Not Available","US","Not Available","333 sold","333","Free","2026-05-16 0:00:00","Not Available"
"3256812117928888","Random Color Realistic Cake Squishy Kawaii Dessert Squeeze Toy Soft Slow Rising Sensory Fidget Anti Stress Relief Anxiety Office Desk Decor Kids Adults Birthday Christmas Gift Party Favors Goody Bag Filler","US $5.90","US $14.66","59%","https://aliexpress.com/item/3256812117928888.html","https://ae-pic-a1.aliexpress-media.com/kf/Se68346e021d64cd0b1bab5c1267d7888n.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","298 sold","298","Free","2026-05-15 0:00:00","Not Available"
"3256812252343663","Surprise blind box mystery gift Realistic Butter Shaped Squishy Toy Scented Slow Rising Stress Relief Fidget Toy Stress Relief Fidget Toy","US $11.37","US $28.65","60%","https://aliexpress.com/item/3256812252343663.html","https://ae-pic-a1.aliexpress-media.com/kf/Sa21d3a2f065a4b1a94bd57b825fc9d2bB.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","285 sold","285","Free","2026-06-03 0:00:00","Not Available"
"3256812072306640","Cute Red Pomegranate Squeeze Stress Ball Fidget Toy, Bead Filled Crunchy Squishy Squeeze Toy, Portable 6×7cm Fruit Shaped Anxiety Relief Sensory Toy for Adults Kids Home Desktop Decor Gift","US $4.77","US $12.51","61%","https://aliexpress.com/item/3256812072306640.html","https://ae-pic-a1.aliexpress-media.com/kf/Sfd3c541752434a558ccde1089471533e5.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","285 sold","285","Free","2026-05-09 0:00:00","Not Available"
"3256811986776382","1Pc Kawaii Stretchy Jellyfish Squishy Toy Soft Elastic Ocean Squeeze Fidget Toys Sensory Anti Stress Decompression Toy Kids Adults Birthday Gift Party Favors Classroom Prizes Goodie Bag Fillers Christmas Stocking Stuffers Office Desk Decor","US $4.68","US $11.78","60%","https://aliexpress.com/item/3256811986776382.html","https://ae-pic-a1.aliexpress-media.com/kf/Sce1b0ac4540c4617af7bcd77aa7fc8baT.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","271 sold","271","Free","2026-04-25 0:00:00","Not Available"
"3256812333230433","1pc Realistic Baguette Bread Squishy Toy, Super Soft Slow Rising Squeeze Fidget Toy, Golden Crust Fake Bakery Food Stress Relief Anti-Anxiety Toy, Individually Packaged Cute Desk Decor Gift for Kids Teen Girls Adults","US $5.35","US $17.00","68%","https://aliexpress.com/item/3256812333230433.html","https://ae-pic-a1.aliexpress-media.com/kf/Sb5f3c526e29c43dfa872a815b1392ac1H.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","263 sold","263","Free","2026-06-15 0:00:00","Not Available"
"3256812288702296","3Pcs Ice Squishy Toy Set Ultra Soft Two Tone Jiggly Squeeze Ball Fidget Toys Sensory Anti Stress Decompression Office Desk Decor Kids Adults Birthday Party Favors","US $5.08","US $15.64","67%","https://aliexpress.com/item/3256812288702296.html","https://ae-pic-a1.aliexpress-media.com/kf/S2d95ffc8fb9140888bc2a0361d0c376ew.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","241 sold","241","Free","2026-06-09 0:00:00","Not Available"
"3256812076755713","Squishy Fruit Grapes Fidget Toy, Stretchy Slow Rising Squeeze Stress Relief, Anti-Anxiety Creative Sensory Hand Toy for Kids Adults","US $19.10","US $48.06","60%","https://aliexpress.com/item/3256812076755713.html","https://ae-pic-a1.aliexpress-media.com/kf/Sdb9cce1b5d594e998a41873bf953f1fdJ.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","238 sold","238","Free","2026-05-09 0:00:00","Not Available"
"3256812337615827","1Pc Jumbo Chocolate Biscuits Cheese Squishy Toy Scented Soft Slow Rising Squeeze Food Dessert Kawaii Sensory Fidget Anti Stress Decompression Toys Kids Adults Office Desk Classroom Prizes Birthday Gift Party Favors Christmas Stocking Stuffers","US $6.10","US $15.97","61%","https://aliexpress.com/item/3256812337615827.html","https://ae-pic-a1.aliexpress-media.com/kf/Sc66a401e434348a681ee55c66df5ee38K.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","227 sold","227","Free","2026-06-15 0:00:00","Not Available"
